Cód.Prod;Descripción;Descripcion Sabor
1;LS LEC ENT.S SAC 1 L;
2;LECHE LA RODRIGUENSE ULTRA ENT SACHET 1L;
3;LECHE LS PAST ENT FORT SACH 1L;
4;LECHE LS PAST PARC DESC VIT SACH 1L;
5;LS LEC C/HIE SAC 1 L;
6;LECHE LS UAT DESC FORT BRIK 1L;
7;LECHE FORTUNA UAT DESC EXTRA CALC BRIK1L;
8;CREMA LS PAST SACH 1L;
9;CREMA LS PAST REX 500CM3;
10;MOZZ LS INDUSTRIAL PLANCHA 4 KG;
11;YOGUR SER BEBIBLE SACH 1000 GR;VAINILLA                                
11;YOGUR SER BEBIBLE SACH 1000 GR;FRUTILLA                                
12;YOGURISIMO FIRME FORTIFICADO 190GR;
13;PELUCHE PARA CADENAS;
14;CREMA LS PAST REX 1L;
15;CREMA LS SACHET 5L;
16;YOGURISIMO ENT FIRME POTE 190G;
17;YOGUR SER FIRME C CEREALES POTE 130 GR;
18;YOGURISIMO +FORTIF ENT SACHET 1000GR;VAINILLA                                
18;YOGURISIMO +FORTIF ENT SACHET 1000GR;FRUTILLA                                
19;YOGURISIMO GO ED. ESPECIAL BOT 190G;
20;YOGURISIMO NATURAL PACK 240 GR;
21;YOGURISIMO ENT SACHET 900G ED. ESPECIAL;
22;FLAN SERENITO POTE 110 G;
23;QUESO TOAY SARDO SIN PINTAR HORMA 3.5KG;
24;QUESO CASANTO REGGIANO ARGENT HORMA 15KG;
25;QUESO SARDO CTO HORMA 3.5 KG;
26;RICOTTA  GARCIA SACH 1KG;
27;RICOTTA  GARCIA SACH 3KG;
28;RICOTTA GARCIA ENTERA SACHET 500 G;
29;MOZZ CTO INDUSTRIAL PLANCHA 15KG;
30;MOZZ CTO BARRA 4KG;
31;YOGURISIMO DOBLE SABOR 150G;
32;LECHE CHOCOLATADA SERENITO BRIK 250CC;
33;RESERVA ACTIVIA BEBIBLE PACK 760 GR;
34;POSTRE SERENITO COMB POTE 120G;
35;MOZZ CTO INDUSTRIAL PLANCHA 4KG;
36;DULCE DE LECHE LS REPOSTERO POTE 500 GR;
37;RICOTTA LS MAGRA SACHET 3KG;
38;YOGURISIMO FORT ENTERO SACHET 1300GR;VAINILLA                                
38;YOGURISIMO FORT ENTERO SACHET 1300GR;FRUTILLA                                
39;FLAN DANETTE CREMOSO PACK 300G;
40;LECHE LS CRECER HASTA 6 MESES BRIK 250CC;
41;LECHE LS CRECER 6 MESES EN AD.BRIK 250CC;
42;DULCE DE LECHE LS EST.COLONIAL POTE 250G;
43;DULCE DE LECHE LS EST.COLONIAL POTE 500G;
44;DULCE DE LECHE LS COLONIAL POTE 1 KG;
45;DULCE DE LECHE LS CLASICO POTE 5KG;
46;SERENITO CRASH PACK 200GR;
47;POSTRE SERENITO WAU! PACK 200GR;
48;DULCE DE LECHE LS REPOSTERO POTE 5KG;
49;DULCE DE LECHE LS DIET POTE 250G;
50;DULCE DE LECHE LS DIET POTE 500G;
51;QUESO EL PRIMO PATEGRAS HORMA 4 KG;
52;MANTECA  LS EXTRA PAQUETE 100G;
53;CREMA LS LIGHT POTE 200 CC;
54;MANTECA  LS EXTRA PAQUETE 200G;
55;MANTECA ARMONIA EXTRA PAQUETE 200G;
56;MANTECA  LS EXTRA UNID. 25KG;
57;MANTECA ARMONIA EXTRA PAQUETE 500G;
58;MANTECA  LS EXTRA PAQUETE 10G (64 UNID);
59;QUESO LS GOUDA HORMA 4 KG;
60;MANTECA  FORTUNA EXTRA PAQUETE 200G;
61;MANTECA  FORTUNA EXTRA PAQUETE 500G;
